연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수 ,남성용-소변기수 ,남성용-장애인용대변기수 ,남성용-장애인용소변기수 ,남성용-어린이용대변기수 ,남성용-어린이용소변기수 ,여성용-대변기수 ,여성용-장애인용대변기수 ,여성용-어린이용대변기수 ,비상벨 설치유무 ,화장실입구cctv설치유무 ,기저귀교환대설치유무-남자화장실 ,기저귀교환대설치유무-남자장애인화장실 ,기저귀교환대설치유무-여자화장실 ,기저귀교환대설치유무-여자장애인화장실 ,리모델링 연도,데이터기준일자
121,공중화장실,서울교통공사,4호선,혜화,서울특별시 종로구 대학로 지하120(명륜4가),서울특별시 종로구 명륜4가 96-5 혜화역(4호선),37.58204392,127.0194501,지하,1,외부,3,(지하1층 3번출구 방면), 02-6110-4201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,,,10,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
122,공중화장실,서울교통공사,4호선,동대문,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선),37.561159,126.994398,지하,2,내부,9,지하2층, 02-6110-4211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,4,1,,1,,6,1,,Y,Y,N,Y,N,Y,2019,2025-03-13
123,공중화장실,서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.56514371,127.0079152,지하,1,외부,8,"지하1층 10,11번 기둥앞", 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,12,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
124,공중화장실,서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.56514371,127.0079152,지하,2,내부,8,지하2층 내부계단 옆, 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,12,1,,Y,Y,Y,Y,Y,Y,2010,2025-03-13
125,공중화장실,서울교통공사,4호선,충무로,서울특별시 중구 퇴계로 지하214(필동2가),서울특별시 중구 필동2가 16-2 충무로역(3호선),37.535982,126.971351,지하,2,내부,3,"지하2층 3,4,5,6,7번 출구쪽, 게이트내", 02-6110-4231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,,,1,14,1,1,Y,Y,Y,N,Y,N,2012,2025-03-13
126,공중화장실,서울교통공사,4호선,명동,서울특별시 중구 퇴계로 지하126(충무로2가),서울특별시 중구 충무로2가 109-2 명동역(4호선),37.545528,126.97197,지하,1,내부,5,"지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내", 02-6110-4241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,1,Y,Y,Y,Y,Y,Y,2017,2025-03-13
127,공중화장실,서울교통공사,4호선,회현,서울특별시 중구 퇴계로 지하54(남창동),서울특별시 중구 남창동 64-1 회현역(4호선),37.534394,126.973014,지하,2,내부,3,게이트내 지하2층 , 02-6110-4251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,1,1,,8,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
128,공중화장실,서울교통공사,4호선,서울,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.529364,126.968299,지하,1,외부,11,"14번 출구  옆, 11번 출구 물품보관함 건너편", 02-6110-4261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,1,,10,1,1,Y,Y,Y,Y,Y,Y,2015,2025-03-13
129,공중화장실,서울교통공사,4호선,숙대입구,서울특별시 용산구 한강대로 지하306(갈월동),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),37.522481,126.973671,지하,1,외부,9,지하1층 가대합실과 나대합실 연결통로 가운데 위치, 02-6110-4271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,1,2,,10,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
130,공중화장실,서울교통공사,4호선,삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.503465,126.979927,지하,1,외부,3,신용산측, 02-6110-4281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,9,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
131,공중화장실,서울교통공사,4호선,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),서울특별시 용산구 한강로2가 181 신용산역(4호선),37.487514,126.982162,지하,1,외부,4,지하1층 삼각지측, 02-6110-4291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,1,,10,1,1,Y,Y,Y,Y,Y,Y,2016,2025-03-13
132,공중화장실,서울교통공사,4호선,이촌,서울특별시 용산구 서빙고로 지하83(용산동5가),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),37.52237348,126.9745201,지하,1,내부,3,지하1층 3번출구 앞, 02-6110-4301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,,,11,1,,Y,Y,Y,Y,Y,Y,2012,2025-03-13
133,공중화장실,서울교통공사,4호선,동작,서울특별시 동작구 현충로 257(동작동),서울특별시 동작구 동작동 327-1 동작역(4호선),37.50297958,126.9803148,지상,2,내부,1,대합실 2층 구내식당좌측, 02-6110-4311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,1,1,,15,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
134,공중화장실,서울교통공사,4호선,총신대입구,서울특별시 동작구 동작대로 지하117(사당동),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),37.4867996,126.9822119,지하,1,내부,1,지하1층 동작측, 02-6110-4321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,2,Y,Y,Y,Y,Y,Y,2016,2025-03-13
135,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,1,외부,12,(지하1층 총신대측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,6,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
136,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,1,외부,3,(지하1층 남태령측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,7,1,,,,12,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
137,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,2,내부,12,(지하2층 환승통로), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,,Y,Y,Y,Y,Y,Y,2020,2025-03-13
138,공중화장실,서울교통공사,4호선,남태령,서울특별시 서초구 과천대로 지하816(방배동),서울특별시 서초구 방배동 2909 남태령역(4호선),37.588021,127.005797,지하,2,내부,2,(지하2층 역무실 옆), 02-6110-4341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,1,,,3,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
139,공중화장실,서울교통공사,5호선,방화,서울특별시 강서구 금낭화로 지하132(방화동),서울특별시 강서구 방화동 829-15 방화역(5호선),37.577622,126.810637,지하,1,외부,3 또는4,"대합실 1층 3,4번출구방향 앞", 02-6311-5101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,1,Y,Y,N,Y,N,Y,2015,2025-03-13
140,공중화장실,서울교통공사,5호선,개화산,서울특별시 강서구 양천로 22(방화동),서울특별시 강서구 방화동 846 개화산역(5호선),37.572455,126.80465,지하,1,외부,1 또는2,대합실 지하1층 하선E/L 옆 , 02-6311-5111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,1,,1,,5,1,1,Y,Y,N,Y,N,Y,2015,2025-03-13
141,공중화장실,서울교통공사,5호선,김포공항,서울특별시 강서구 하늘길 지하77(방화동),서울특별시 강서구 방화동 886 김포공항역(5호선),37.56209982,126.8012568,지하,1,외부,1,"대합실 지하 1층, 1번출구 옆(지하철경찰센터 옆)", 02-6311-5121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,,,,,2,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
142,공중화장실,서울교통공사,5호선,김포공항,서울특별시 강서구 하늘길 지하77(방화동),서울특별시 강서구 방화동 886 김포공항역(5호선),37.56209982,126.8012568,지하,2,외부,1,"대합실 지하 2층,1번출구 아래(국내선 연결통로 방면)", 02-6311-5121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,7,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
143,공중화장실,서울교통공사,5호선,송정,서울특별시 강서구 공항대로 지하33(공항동),서울특별시 강서구 공항동 29-5 송정역(5호선),36.344485,126.875648,지하,2,외부,1 또는2,대합실 2층 ES 1호기 앞, 02-6311-5131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,4,1,,,,8,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
144,공중화장실,서울교통공사,5호선,마곡,서울특별시 강서구 공항대로 지하163(마곡동),서울특별시 강서구 마곡동 769-3 마곡역(5호선),37.561084,126.823603,지하,1,외부,2,지하1층 대합실 2번출구 하단, 02-6311-5141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,5,1,,,,7,1,,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
145,공중화장실,서울교통공사,5호선,발산,서울특별시 강서구 공항대로 지하267(마곡동),서울특별시 강서구 마곡동 727-1496 발산역(5호선),37.55867774,126.8377364,지하,1,외부,1 또는9,"대합실 1층 1, 9번 출구 사이", 02-6311-5151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,8,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
146,공중화장실,서울교통공사,5호선,우장산,서울특별시 강서구 강서로 지하262(화곡동),서울특별시 강서구 화곡동 1089-3 우장산역(5호선),37.54881619,126.8363263,지하,1,외부,2,지하1층 대합실 2번출구 앞, 02-6311-5161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,6,1,,Y,Y,N,Y,N,Y,2009,2025-03-13
147,공중화장실,서울교통공사,5호선,화곡,서울특별시 강서구 화곡로 지하168(화곡동),서울특별시 강서구 화곡동 1089-54 화곡역(5호선),37.541578,126.838247,지하,1,외부,7 또는8,"대합실 1층 7,8번 출구 앞", 02-6311-5171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,7,1,,,,11,1,,Y,Y,N,Y,N,Y,2009,2025-03-13
148,공중화장실,서울교통공사,5호선,까치산,서울특별시 강서구 강서로 지하54(화곡동),서울특별시 강서구 화곡동 662-5 까치산역(5호선),37.531768,126.844517,지하,1,외부,1 또는2 또는3 또는4,대합실(지하1층) 1~4번 출구 앞, 02-6311-5181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,8,1,,,,16,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
149,공중화장실,서울교통공사,5호선,신정,서울특별시 양천구 오목로 지하179(신정동),서울특별시 양천구 신정동 1090 신정역(5호선),37.524977,126.853975,지하,2,외부,2 또는3,"2,3번 출구 지하 (가)대합실 운임지역 내 ", 02-6311-5191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,8,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
150,공중화장실,서울교통공사,5호선,목동,서울특별시 양천구 오목로 지하245(목동),서울특별시 양천구 목동 926-3 목동역(5호선),37.526072,126.862112,지하,1,외부,7,대합실 지하1층 7번출구 옆, 02-6311-5201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,7,1,,Y,Y,N,Y,Y,N, 2008이전 ,2025-03-13
151,공중화장실,서울교통공사,5호선,오목교,서울특별시 양천구 오목로 지하342(목동),서울특별시 양천구 목동 406-30 오목교역(5호선),37.524553,126.872861,지하,1,외부,3,대합실 B1층 3번 출구 방향 임대상가 옆, 02-6311-5211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,6,1,,,,5,1,,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
152,공중화장실,서울교통공사,5호선,양평,서울특별시 영등포구 양산로 지하21(양평동2가),서울특별시 영등포구 양평동2가 33-79 양평역(5호선),37.509109,127.049088,지하,1,내부,1 또는2,b1층 고객상담실 옆. 운임지역내, 02-6311-5221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,8,1,,Y,Y,N,Y,N,Y,2009,2025-03-13
153,공중화장실,서울교통공사,5호선,영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.526714,126.893067,지하,1,외부,7,대합실 지하1층 7번출구 방면, 02-6311-5231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,8,1,,Y,Y,N,Y,N,Y,2011,2025-03-13
154,공중화장실,서울교통공사,5호선,영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),서울특별시 영등포구 영등포동5가 62-1 영등포시장역(5호선),37.521638,126.902798,지하,1,외부,2 또는3,"대합실 1층  2, 3번출구 앞 ", 02-6311-5241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,9,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
155,공중화장실,서울교통공사,5호선,신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),서울특별시 영등포구 영등포동1가 35 신길역(5호선),37.517346,126.914221,지하,3,외부,3,대합실(B3) 3번출구 앞, 02-6311-5251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,9,1,1,Y,Y,N,Y,N,Y,2015,2025-03-13
156,공중화장실,서울교통공사,5호선,여의도,서울특별시 영등포구 여의나루로 지하40(여의도동),서울특별시 영등포구 여의도동 3 여의도역(5호선),37.52157,126.922123,지하,1,외부,6,대합실1층  가게이트 옆, 02-6311-5261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,8,1,,,,11,1,,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
157,공중화장실,서울교통공사,5호선,여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),서울특별시 영등포구 여의도동 84-4 여의나루역(5호선),37.527141,126.930621,지하,1,외부,3,지하1층 대합실 비운임지역 ES옆, 02-6311-5271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,8,1,,1,,15,1,1,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
158,공중화장실,서울교통공사,5호선,마포,서울특별시 마포구 마포대로 지하33(도화동),서울특별시 마포구 도화동 160 마포역(5호선),37.539705,126.943851,지하,1,외부,4,대합실 1층 토니모리좌측, 02-6311-5281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
159,공중화장실,서울교통공사,5호선,공덕,서울특별시 마포구 마포대로 지하100(공덕동),서울특별시 마포구 공덕동 423-29 공덕역(5호선),37.54454169,126.9514512,지하,1,외부,3, 대합실 1층 3번출구 앞, 02-6311-5291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,1,Y,Y,N,Y,N,Y, 2008이전 ,2025-03-13
160,공중화장실,서울교통공사,5호선,애오개,서울특별시 마포구 마포대로 지하210(아현동),서울특별시 마포구 아현동 612 애오개역(5호선),37.55359,126.95455,지하,1,외부,3,대합실 1층 게이트 통과 후좌측, 02-6311-5301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,,Y,Y,N,Y,N,Y,2012,2025-03-13
161,공중화장실,서울교통공사,5호선,충정로,서울특별시 서대문구 서소문로 지하17(충정로3가),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.560055,126.961483,지하,1,외부,8,대합실 B1층 8번출구 방향  i센터 맞은 편, 02-6311-5311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,1,,1,,5,1,1,Y,Y,N,Y,N,Y,2012,2025-03-13
162,공중화장실,서울교통공사,5호선,서대문,서울특별시 종로구 통일로 지하126(평동),서울특별시 종로구 평동 210 서대문역(5호선),37.56577,126.964461,지하,1,외부,1 또는2,"지하1층 대합실 1, 2번 출구 내려와서 왼쪽편", 02-6311-5321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,7,1,,1,,12,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
163,공중화장실,서울교통공사,5호선,광화문,서울특별시 종로구 세종대로 지하172(세종로),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),37.568666,126.969794,지하,1,외부,7 또는8,세종측 대합실 지하1층, 02-6311-5331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
164,공중화장실,서울교통공사,5호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.5715,126.989059,지하,1,내부,5,(대합실 지하1층 역무실 맞은편), 02-6311-5341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,,,13,1,,Y,Y,N,Y,N,Y,2012,2025-03-13
165,공중화장실,서울교통공사,5호선,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.567015,126.995642,지하,1,외부,1 또는2,"대합실 B1층, B2층 내려가는 계단 앞", 02-6311-5351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,8,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
166,공중화장실,서울교통공사,5호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.565102,127.005576,지하,1,외부,7,지하1층, 02-6311-5361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,9,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
167,공중화장실,서울교통공사,5호선,신금호,서울특별시 성동구 금호로 지하154(금호동2가),서울특별시 성동구 금호동2가 223-1 신금호역(5호선),37.554468,127.018605,지하,2,외부,5,B2 게이트 앞, 02-6311-5381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,5,1,,1,,7,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
168,공중화장실,서울교통공사,5호선,행당,서울특별시 성동구 행당로 지하89(행당동),서울특별시 성동구 행당동 317-241 행당역(5호선),37.55736378,127.0295118,지하,3,외부,1 또는2 또는3 또는4,지하3층 E/S 옆(고객상담실 및만남의장소 앞), 02-6311-5391 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,1,Y,Y,N,Y,N,Y,2009,2025-03-13
169,공중화장실,서울교통공사,5호선,왕십리,서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(2호선),37.56203954,127.0373313,지하,2,내부,4,b2 대합실 상가2002호점 옆, 02-6311-5401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,1,,14,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
170,공중화장실,서울교통공사,5호선,마장,서울특별시 성동구 마장로 지하296(마장동),서울특별시 성동구 마장동 804 마장역(5호선),37.566127,127.040776,지하,2,외부,1 또는2 또는3 또는4,지하2층 대합실, 02-6311-5411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,3,1,,1,,7,1,1,Y,Y,N,Y,N,Y,2013,2025-03-13
171,공중화장실,서울교통공사,5호선,답십리,서울특별시 성동구 천호대로 지하300(용답동),서울특별시 성동구 용답동 99 답십리역(5호선),37.567072,127.050193,지하,1,외부,5 또는6,"B1층 5,6번 출입구 방향", 02-6311-5421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,1,,10,1,1,Y,Y,N,Y,N,Y,2008,2025-03-13
172,공중화장실,서울교통공사,5호선,장한평,서울특별시 동대문구 천호대로 지하405(장안동),서울특별시 동대문구 장안동 472-3 장한평역(5호선),37.561472,127.062468,지하,1,외부,1,지하 1층 1번출구 나가기전좌측방향, 02-6311-5431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,,Y,Y,N,Y,N,Y,2006,2025-03-13
173,공중화장실,서울교통공사,5호선,군자,서울특별시 광진구 천호대로 지하550(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),37.557336,127.0774,지하,1,외부,7 또는8,지하1층 대합실 5 게이트(가) 앞, 02-6311-5441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,6,1,,1,,19,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
174,공중화장실,서울교통공사,5호선,아차산,서울특별시 광진구 천호대로 지하657(능동),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),37.551959,127.087363,지하,1,외부,3,지하1층 대합실, 02-6311-5451 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,9,1,1,Y,Y,N,Y,N,Y,2015,2025-03-13
175,공중화장실,서울교통공사,5호선,광나루,서울특별시 광진구 아차산로 지하571(광장동),서울특별시 광진구 광장동 237 광나루역(5호선),37.545332,127.101417,지하,1,외부,1 또는2,지하1층, 02-6311-5461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,6,1,,1,,14,1,1,Y,Y,N,Y,N,Y,2012,2025-03-13
176,공중화장실,서울교통공사,5호선,천호,서울특별시 강동구 천호대로 지하997(천호동),서울특별시 강동구 천호동 455 천호역(5호선),37.538462,127.122905,지하,1,외부,5 또는6,"지하1층 대합실(5,6번출구 방향)", 02-6311-5471 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,11,1,,2,,16,1,2,Y,Y,N,Y,N,Y,2009,2025-03-13
177,공중화장실,서울교통공사,5호선,강동,서울특별시 강동구 천호대로 지하1097(천호동),서울특별시 강동구 천호동 447 강동역(5호선),37.53594,127.1299,지하,1,외부,2,대합실 지하1층 2번출구 앞 , 02-6311-5481 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,8,1,,1,,13,1,1,Y,Y,N,Y,N,Y,2012,2025-03-13
178,공중화장실,서울교통공사,5호선,길동,서울특별시 강동구 양재대로 지하1480(길동),서울특별시 강동구 길동 378 길동역(5호선),37.537769,127.137803,지하,1,외부,3,대합실 지하1층 3번 출구 옆, 02-6311-5491 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,1,Y,Y,N,Y,N,Y,2014,2025-03-13
179,공중화장실,서울교통공사,5호선,굽은다리,서울특별시 강동구 양재대로 지하1572(명일동),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),37.545539,127.140717,지하,1,외부,3,대합실 지하1층 3번출구 앞, 02-6311-5501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,7,1,,Y,Y,N,Y,N,Y,2008,2025-03-13
180,공중화장실,서울교통공사,5호선,명일,서울특별시 강동구 양재대로 지하1632(명일동),서울특별시 강동구 명일동 312 명일역(5호선),37.55131,127.141825,지하,1,외부,3,대합실 지하1층 3번출구 앞 , 02-6311-5511 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,1,Y,Y,N,Y,N,Y,2008,2025-03-13
181,공중화장실,서울교통공사,5호선,고덕,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310 고덕역(5호선),37.555051,127.151921,지하,1,외부,1,대합실 지하1층 1번 출구 방향, 02-6311-5521 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,6,1,,Y,Y,N,Y,N,Y,2012,2025-03-13
