노선명,역명,화장실개수
1호선,동대문,1
1호선,동묘앞,4
1호선,서울,1
1호선,시청,1
1호선,신설동,1
1호선,제기동,1
1호선,종각,2
1호선,종로3가,2
1호선,종로5가,1
1호선,청량리,1
2호선,강남,1
2호선,강변,1
2호선,건대입구,1
2호선,교대,1
2호선,구로디지털단지,1
2호선,구의,1
2호선,낙성대,1
2호선,당산,1
2호선,대림,1
2호선,도림천,1
2호선,동대문역사문화공원,1
2호선,뚝섬,1
2호선,문래,1
2호선,방배,1
2호선,봉천,1
2호선,사당,2
2호선,삼성,1
2호선,상왕십리,1
2호선,서울대입구,1
2호선,서초,1
2호선,선릉,1
2호선,성수,1
2호선,시청,2
2호선,신답,1
2호선,신당,1
2호선,신대방,1
2호선,신도림,2
2호선,신림,1
2호선,신설동,1
2호선,신정네거리,1
2호선,신촌,1
2호선,아현,1
2호선,양천구청,1
2호선,역삼,1
2호선,영등포구청,1
2호선,왕십리,1
2호선,용답,1
2호선,용두,4
2호선,을지로3가,1
2호선,을지로4가,1
2호선,을지로입구,1
2호선,이대,1
2호선,잠실,1
2호선,잠실나루,1
2호선,잠실새내,1
2호선,종합운동장,2
2호선,충정로,1
2호선,한양대,1
2호선,합정,1
2호선,홍대입구,1
3호선,가락시장,2
3호선,경복궁,1
3호선,경찰병원,2
3호선,교대,1
3호선,구파발,1
3호선,금호,1
3호선,남부터미널,1
3호선,녹번,1
3호선,대청,1
3호선,대치,1
3호선,도곡,1
3호선,독립문,1
3호선,동대입구,1
3호선,매봉,1
3호선,무악재,1
3호선,불광,1
3호선,수서,1
3호선,신사,1
3호선,안국,1
3호선,압구정,1
3호선,약수,1
3호선,양재,1
3호선,연신내,1
3호선,오금,2
3호선,옥수,2
3호선,을지로3가,1
3호선,일원,1
3호선,잠원,1
3호선,종로3가,1
3호선,학여울,1
3호선,홍제,2
4호선,길음,1
4호선,남태령,1
4호선,노원,1
4호선,당고개,2
4호선,동대문,1
4호선,동대문역사문화공원,2
4호선,동작,1
4호선,명동,1
4호선,미아,1
4호선,미아사거리,1
4호선,사당,3
4호선,삼각지,1
4호선,상계,1
4호선,서울,1
4호선,성신여대입구,1
4호선,수유,1
4호선,숙대입구,1
4호선,신용산,1
4호선,쌍문,1
4호선,이촌,1
4호선,창동,1
4호선,총신대입구,1
4호선,충무로,1
4호선,한성대입구,1
4호선,혜화,1
4호선,회현,1
5호선,강동,1
5호선,강일,2
5호선,개롱,1
5호선,개화산,1
5호선,거여,1
5호선,고덕,1
5호선,공덕,1
5호선,광나루,1
5호선,광화문,1
5호선,군자,1
5호선,굽은다리,1
5호선,길동,1
5호선,김포공항,2
5호선,까치산,1
5호선,답십리,1
5호선,동대문역사문화공원,1
5호선,둔촌동,1
5호선,마곡,1
5호선,마장,1
5호선,마천,1
5호선,마포,1
5호선,명일,1
5호선,목동,1
5호선,미사,2
5호선,발산,1
5호선,방이,1
5호선,방화,1
5호선,상일동,1
5호선,서대문,1
5호선,송정,1
5호선,신금호,1
5호선,신길,1
5호선,신정,1
5호선,아차산,1
5호선,애오개,1
5호선,양평,1
5호선,여의나루,1
5호선,여의도,1
5호선,영등포구청,1
5호선,영등포시장,1
5호선,오금,1
5호선,오목교,1
5호선,올림픽공원,1
5호선,왕십리,1
5호선,우장산,1
5호선,을지로4가,1
5호선,장한평,1
5호선,종로3가,1
5호선,천호,1
5호선,충정로,1
5호선,하남검단산,1
5호선,하남시청,1
5호선,하남풍산,1
5호선,행당,1
5호선,화곡,1
6호선,고려대,1
6호선,공덕,1
6호선,광흥창,1
6호선,구산,1
6호선,녹사평,1
6호선,대흥,1
6호선,독바위,1
6호선,돌곶이,1
6호선,동묘앞,1
6호선,디지털미디어시티,2
6호선,마포구청,2
6호선,망원,1
6호선,버티고개,1
6호선,보문,1
6호선,봉화산,1
6호선,불광,1
6호선,삼각지,1
6호선,상수,1
6호선,상월곡,1
6호선,새절,1
6호선,석계,2
6호선,신당,1
6호선,안암,2
6호선,약수,1
6호선,역촌,1
6호선,연신내,1
6호선,월곡,1
6호선,월드컵경기장,2
6호선,응암,1
6호선,이태원,1
6호선,증산,1
6호선,창신,1
6호선,청구,1
6호선,태릉입구,1
6호선,한강진,1
6호선,합정,1
6호선,화랑대,1
6호선,효창공원앞,1
7호선,가산디지털단지,1
7호선,강남구청,1
7호선,건대입구,1
7호선,고속터미널,1
7호선,공릉,1
7호선,광명사거리,1
7호선,남구로,1
7호선,남성,1
7호선,내방,1
7호선,노원,1
7호선,논현,2
7호선,대림,1
7호선,도봉산,2
7호선,뚝섬유원지,1
7호선,마들,1
7호선,먹골,1
7호선,면목,1
7호선,반포,1
7호선,보라매,1
7호선,사가정,1
7호선,상도,1
7호선,상봉,1
7호선,수락산,1
7호선,숭실대입구,1
7호선,신대방삼거리,1
7호선,신풍,1
7호선,어린이대공원,1
7호선,온수,1
7호선,용마산,1
7호선,이수,2
7호선,장승배기,1
7호선,장암,1
7호선,중계,1
7호선,중곡,1
7호선,중화,1
7호선,천왕,1
7호선,철산,1
7호선,청담,1
7호선,태릉입구,1
7호선,하계,1
7호선,학동,1
8호선,가락시장,1
8호선,강동구청,1
8호선,남위례,1
8호선,남한산성입구,1
8호선,단대오거리,1
8호선,모란,1
8호선,몽촌토성,1
8호선,문정,2
8호선,복정,1
8호선,산성,1
8호선,석촌,1
8호선,송파,1
8호선,수진,1
8호선,신흥,1
8호선,암사,1
8호선,암사역사공원역,1
8호선,잠실,1
8호선,장지,1
9호선,개화,1
9호선,김포공항,2
9호선,공항시장,1
9호선,신방화,1
9호선,마곡나루,1
9호선,양천향교,1
9호선,가양,1
9호선,증미,1
9호선,등촌,1
9호선,염창,1
9호선,신목동,1
9호선,선유도,1
9호선,당산,2
9호선,국회의사당,2
9호선,여의도,2
9호선,샛강,1
9호선,노량진,2
9호선,노들,2
9호선,흑석,1
9호선,동작,2
9호선,구반포,1
9호선,신반포,1
9호선,고속터미널,4
9호선,사평,1
9호선,신논현,1
9호선,언주,1
9호선,선정릉,1
9호선,삼성중앙,1
9호선,봉은사,1
9호선,종합운동장,2
9호선,삼전,1
9호선,석촌고분,1
9호선,석촌,2
9호선,송파나루,1
9호선,한성백제,1
9호선,올림픽공원,2
9호선,둔춘오륜,1
9호선,중앙보훈병원,1
