역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
신정,5호선,23262,30177,9168,1,4825.0,1589.0,,1.0,1.0,10.0,10.0,12.0,9.0,28,0.0
아차산,5호선,29120,37543,12268,1,4818.0,1835.0,4.0,1.0,1.0,8.0,8.0,92.0,13.0,32,0.0
애오개,5호선,12561,19700,3468,1,4013.0,1833.0,,1.0,1.0,6.0,6.0,35.0,9.0,35,0.0
양평,5호선,14024,19847,3377,1,5891.0,2047.0,,0.0,1.0,8.0,8.0,96.0,9.0,29,1.0
여의나루,5호선,30056,109491,7277,1,6638.0,2322.0,1.0,1.0,1.0,11.0,11.0,49.0,56.0,28,0.0
여의도,5호선,54963,149125,6955,2,10197.0,2691.0,4.0,1.0,1.0,4.0,4.0,89.0,38.0,40,1.0
영등포구청,5호선,8542,11669,1859,2,20239.0,2813.0,2.0,1.0,1.0,14.0,14.0,40.0,9.0,47,0.0
영등포시장,5호선,22499,35299,6291,1,8386.0,3054.0,,1.0,1.0,8.0,8.0,63.0,9.0,51,0.0
오금,5호선,6935,9450,1741,2,5097.0,2570.0,,1.0,1.0,7.0,7.0,0.0,,37,0.0
오목교,5호선,41677,54336,10574,1,9946.0,2458.0,44.0,1.0,1.0,10.0,10.0,291.0,17.0,54,1.0
올림픽공원,5호선,10320,21282,2357,2,4377.0,2121.0,,1.0,1.0,4.0,4.0,0.0,38.0,30,0.0
왕십리,5호선,9643,12221,3285,2,9949.0,3268.0,10.0,1.0,1.0,8.0,8.0,32.0,26.0,46,0.0
우장산,5호선,28028,35902,9121,1,3634.0,1990.0,4.0,1.0,1.0,4.0,4.0,49.0,13.0,33,1.0
을지로4가,5호선,12038,16057,2397,2,9382.0,2110.0,5.0,1.0,1.0,11.0,11.0,0.0,,46,0.0
장한평,5호선,36264,51161,10323,1,6192.0,2260.0,4.0,1.0,1.0,4.0,4.0,262.0,13.0,36,0.0
종로3가,5호선,30640,42842,14345,3,6661.0,2526.0,1.0,1.0,1.0,10.0,10.0,0.0,,41,0.0
천호,5호선,37938,46473,13038,2,9920.0,3267.0,26.0,1.0,1.0,16.0,16.0,535.0,39.0,21,0.0
청구,5호선,7191,9419,2643,2,4014.0,1914.0,3.0,1.0,,,,28.0,9.0,31,0.0
충정로,5호선,8658,12744,1675,2,7547.0,1920.0,4.0,1.0,1.0,4.0,4.0,58.0,9.0,53,0.0
하남검단산,5호선,12901,15888,6669,1,9518.0,2633.0,,0.0,1.0,20.0,20.0,50.0,,84,0.0
하남시청,5호선,15889,21327,6555,1,6496.0,2354.0,,0.0,1.0,28.0,28.0,70.0,,45,0.0
하남풍산,5호선,8711,10941,2685,1,5956.0,2069.0,,0.0,1.0,24.0,24.0,82.0,,36,0.0
행당,5호선,14559,18928,5531,1,4686.0,2180.0,3.0,1.0,1.0,8.0,8.0,42.0,9.0,38,0.0
화곡,5호선,52351,69005,20195,1,7144.0,1982.0,6.0,1.0,1.0,4.0,4.0,196.0,17.0,28,0.0
고려대,6호선,16706,27722,5610,1,5721.0,2425.0,2.0,1.0,1.0,12.0,12.0,97.0,13.0,43,1.0
공덕,6호선,35326,46290,9661,2,5722.0,4567.0,12.0,1.0,1.0,6.0,6.0,0.0,21.0,,0.0
광흥창,6호선,17444,25551,4984,1,5693.0,1982.0,,1.0,1.0,9.0,9.0,65.0,9.0,30,0.0
구산,6호선,13931,20747,5666,1,1743.0,1661.0,2.0,1.0,1.0,4.0,4.0,126.0,9.0,20,0.0
녹사평,6호선,10533,15151,4850,1,7424.0,2042.0,,1.0,1.0,13.0,13.0,54.0,21.0,40,0.0
대흥,6호선,18120,25730,4447,1,7001.0,2146.0,1.0,1.0,1.0,6.0,6.0,22.0,9.0,29,0.0
독바위,6호선,5520,7443,2551,1,2545.0,1363.0,,1.0,1.0,8.0,8.0,7.0,9.0,23,0.0
돌곶이,6호선,18719,25917,6861,1,4274.0,2160.0,6.0,1.0,1.0,4.0,4.0,123.0,9.0,29,1.0
동묘앞,6호선,17302,22427,8762,2,11257.0,2743.0,1.0,1.0,1.0,12.0,12.0,29.0,17.0,42,0.0
디지털미디어시티,6호선,28606,42137,8360,1,5694.0,3295.0,6.0,1.0,2.0,8.0,8.0,214.0,13.0,46,1.0
마포구청,6호선,26615,36306,9394,1,6302.0,2121.0,4.0,1.0,2.0,12.0,12.0,415.0,9.0,33,0.0
망원,6호선,31787,40390,12177,1,3618.0,1902.0,4.0,1.0,1.0,2.0,2.0,221.0,18.0,28,0.0
버티고개,6호선,4170,5610,1600,1,3648.0,2629.0,,0.0,1.0,4.0,4.0,7.0,9.0,28,0.0
보문,6호선,14807,20363,5463,1,4603.0,1983.0,3.0,1.0,1.0,2.0,2.0,21.0,9.0,25,1.0
봉화산,6호선,16250,21229,5940,1,6837.0,2962.0,1.0,1.0,1.0,4.0,4.0,80.0,9.0,35,0.0
불광,6호선,9112,11743,3367,2,5039.0,1397.0,1.0,1.0,1.0,12.0,12.0,116.0,9.0,29,0.0
삼각지,6호선,14268,19386,4682,2,8675.0,2453.0,3.0,1.0,1.0,4.0,4.0,47.0,9.0,48,0.0
상수,6호선,21635,29258,8643,1,4181.0,2012.0,5.0,1.0,1.0,10.0,10.0,30.0,13.0,35,0.0
상월곡,6호선,12087,17955,4565,1,7146.0,2382.0,,1.0,1.0,6.0,6.0,49.0,9.0,32,0.0
새절,6호선,23757,35507,9828,1,4568.0,2421.0,2.0,1.0,1.0,4.0,4.0,176.0,9.0,36,0.0
석계,6호선,24241,30724,9841,1,9763.0,3067.0,4.0,1.0,2.0,14.0,14.0,222.0,9.0,58,1.0
신내,6호선,1,3,1,1,106.0,752.0,,0.0,,2.0,2.0,0.0,,12,0.0
신당,6호선,17055,22651,4402,2,15210.0,2984.0,3.0,1.0,1.0,14.0,14.0,46.0,9.0,42,0.0
안암,6호선,24417,42320,5047,1,6522.0,1777.0,3.0,1.0,2.0,6.0,6.0,24.0,13.0,34,1.0
약수,6호선,7097,9271,2417,2,7183.0,1909.0,,1.0,1.0,11.0,11.0,0.0,9.0,38,0.0
역촌,6호선,7941,10962,3548,1,2192.0,1926.0,,0.0,1.0,6.0,6.0,148.0,9.0,26,1.0
연신내,6호선,3,19,1,2,3241.0,2419.0,1.0,1.0,1.0,6.0,6.0,0.0,,25,0.0
월곡,6호선,22651,32972,7830,1,4663.0,1882.0,3.0,1.0,1.0,12.0,12.0,132.0,13.0,49,1.0
월드컵경기장,6호선,13768,101051,4899,1,7829.0,3376.0,,1.0,2.0,12.0,12.0,168.0,13.0,49,0.0
응암,6호선,33821,45685,14729,1,4799.0,3351.0,5.0,1.0,1.0,4.0,4.0,162.0,13.0,33,1.0
이태원,6호선,24629,38180,15881,1,4863.0,1934.0,1.0,1.0,1.0,4.0,4.0,10.0,51.0,30,0.0
증산,6호선,18845,27844,8329,1,3735.0,1987.0,3.0,1.0,1.0,6.0,6.0,80.0,9.0,30,0.0
창신,6호선,6227,8748,2450,1,4169.0,2040.0,,1.0,1.0,3.0,3.0,20.0,9.0,21,0.0
청구,6호선,7295,9670,2570,2,2080.0,2429.0,,0.0,1.0,10.0,10.0,0.0,,18,0.0
태릉입구,6호선,12112,30586,4681,2,6242.0,3288.0,9.0,0.0,1.0,17.0,17.0,0.0,,26,0.0
한강진,6호선,21652,41339,7542,1,4996.0,2444.0,2.0,1.0,1.0,4.0,4.0,20.0,13.0,31,0.0
합정,6호선,27095,34364,10022,2,6510.0,2435.0,11.0,1.0,1.0,16.0,16.0,250.0,25.0,49,1.0
화랑대,6호선,20506,28706,6650,1,7497.0,2610.0,5.0,1.0,1.0,4.0,4.0,225.0,13.0,40,0.0
효창공원앞,6호선,13684,19808,4269,1,4771.0,2022.0,2.0,1.0,1.0,6.0,6.0,24.0,9.0,28,0.0
가산디지털단지,7호선,75960,110590,12075,1,10116.0,2434.0,3.0,1.0,1.0,18.0,18.0,110.0,26.0,43,0.0
강남구청,7호선,31184,40878,4206,1,7987.0,2371.0,15.0,1.0,1.0,7.0,7.0,25.0,17.0,43,0.0
건대입구,7호선,27075,40044,8960,2,5154.0,2145.0,5.0,1.0,1.0,11.0,11.0,296.0,39.0,39,0.0
고속터미널,7호선,31862,41779,16971,3,9484.0,3426.0,17.0,1.0,1.0,21.0,21.0,60.0,26.0,43,0.0
공릉,7호선,23511,33898,8300,1,6386.0,2168.0,4.0,1.0,1.0,8.0,8.0,100.0,13.0,33,0.0
광명사거리,7호선,38803,47457,16251,1,6693.0,2020.0,8.0,1.0,1.0,2.0,2.0,204.0,26.0,36,1.0
광명사거리,7호선,38803,47457,16251,1,6693.0,2020.0,8.0,1.0,1.0,2.0,2.0,204.0,26.0,36,1.0
광명사거리,7호선,38803,47457,16251,1,6693.0,2020.0,8.0,1.0,1.0,2.0,2.0,204.0,26.0,36,1.0
군자,7호선,26016,33031,9432,2,5677.0,2276.0,9.0,1.0,,6.0,6.0,0.0,,31,0.0
남구로,7호선,27945,37219,11913,1,6638.0,1554.0,2.0,1.0,1.0,12.0,12.0,77.0,13.0,45,0.0
남성,7호선,21383,28092,7892,1,6731.0,2120.0,1.0,1.0,1.0,14.0,14.0,22.0,9.0,30,0.0
내방,7호선,27126,36101,5772,1,7871.0,2092.0,5.0,1.0,1.0,10.0,10.0,82.0,13.0,32,1.0
노원,7호선,45832,62879,13929,2,8884.0,2075.0,22.0,1.0,1.0,15.0,15.0,353.0,21.0,42,1.0
논현,7호선,34386,46482,6082,1,9388.0,2445.0,8.0,1.0,2.0,19.0,19.0,20.0,17.0,35,0.0
대림,7호선,18478,23274,13021,2,7052.0,2304.0,9.0,1.0,1.0,13.0,13.0,113.0,13.0,41,0.0
도봉산,7호선,19088,25954,7811,1,4626.0,2344.0,3.0,0.0,2.0,,,50.0,9.0,42,0.0
마들,7호선,24259,32109,10258,1,7494.0,2100.0,18.0,1.0,1.0,8.0,8.0,249.0,13.0,39,0.0
먹골,7호선,19547,26922,8068,1,7294.0,1971.0,6.0,1.0,1.0,6.0,6.0,105.0,9.0,42,1.0
면목,7호선,28270,39579,11715,1,4739.0,1847.0,10.0,1.0,1.0,6.0,6.0,83.0,13.0,40,0.0
반포,7호선,12056,15453,2778,1,10349.0,2052.0,11.0,1.0,1.0,6.0,6.0,55.0,9.0,47,0.0
보라매,7호선,13120,16767,4334,1,6682.0,1740.0,3.0,1.0,1.0,4.0,4.0,47.0,13.0,34,0.0
사가정,7호선,31146,39663,13515,1,4314.0,1977.0,7.0,1.0,1.0,10.0,10.0,120.0,13.0,36,1.0
상도,7호선,22750,34601,6899,1,6629.0,1789.0,3.0,1.0,1.0,11.0,11.0,26.0,9.0,25,0.0
상봉,7호선,33093,41882,12502,1,7251.0,1755.0,5.0,1.0,1.0,6.0,6.0,106.0,21.0,48,1.0
수락산,7호선,24091,29080,11146,1,8135.0,2353.0,2.0,1.0,1.0,7.0,7.0,210.0,9.0,40,0.0
숭실대입구,7호선,26976,45214,7827,1,4425.0,2095.0,4.0,1.0,1.0,12.0,12.0,10.0,13.0,47,0.0
신대방삼거리,7호선,27808,37725,10537,1,6945.0,1787.0,5.0,1.0,1.0,12.0,12.0,57.0,13.0,40,0.0
신풍,7호선,20837,27641,8217,1,5177.0,2749.0,2.0,1.0,1.0,4.0,4.0,173.0,13.0,35,0.0
어린이대공원,7호선,31396,50253,9046,1,7808.0,1870.0,,1.0,1.0,6.0,6.0,229.0,13.0,49,0.0
온수,7호선,17822,24462,5986,1,8575.0,2711.0,3.0,1.0,1.0,16.0,16.0,67.0,13.0,49,0.0
용마산,7호선,11126,14554,5284,1,4410.0,2032.0,1.0,1.0,1.0,8.0,8.0,30.0,9.0,37,1.0
이수,7호선,31149,40653,9062,1,12110.0,2724.0,9.0,1.0,2.0,23.0,23.0,0.0,17.0,,0.0
자양,7호선,20067,84702,8034,1,3301.0,2466.0,,0.0,,4.0,4.0,0.0,,30,0.0
장승배기,7호선,17476,23993,6182,1,7239.0,1872.0,1.0,1.0,1.0,14.0,14.0,38.0,9.0,34,0.0
장암,7호선,3874,4981,1341,1,504.0,999.0,,0.0,1.0,,,110.0,,13,0.0
중계,7호선,26838,38464,9893,1,7103.0,2042.0,4.0,1.0,1.0,10.0,10.0,258.0,13.0,26,0.0
중곡,7호선,20187,27479,7647,1,4291.0,1631.0,2.0,1.0,1.0,4.0,4.0,73.0,9.0,42,0.0
중화,7호선,20134,26063,8114,1,7020.0,1909.0,10.0,1.0,1.0,6.0,6.0,145.0,13.0,39,1.0
천왕,7호선,21158,27544,7259,1,3516.0,1791.0,1.0,1.0,1.0,6.0,6.0,440.0,9.0,34,1.0
철산,7호선,41074,53274,14131,1,5354.0,2051.0,7.0,1.0,1.0,6.0,6.0,376.0,17.0,27,1.0
철산,7호선,41074,53274,14131,1,5354.0,2051.0,7.0,1.0,1.0,6.0,6.0,376.0,17.0,27,1.0
청담,7호선,35941,48132,6242,1,14394.0,2225.0,7.0,1.0,1.0,16.0,16.0,113.0,26.0,84,1.0
태릉입구,7호선,17088,43353,5829,2,8388.0,2667.0,5.0,1.0,1.0,8.0,8.0,176.0,13.0,62,0.0
하계,7호선,33599,44712,12092,1,7160.0,2061.0,8.0,1.0,1.0,6.0,6.0,125.0,13.0,39,1.0
학동,7호선,43164,58806,4648,1,6935.0,2358.0,8.0,1.0,1.0,10.0,10.0,19.0,17.0,38,0.0
가락시장,8호선,16298,23755,3992,2,5110.0,2617.0,3.0,1.0,1.0,12.0,12.0,221.0,9.0,31,0.0
강동구청,8호선,20107,27043,6110,1,3957.0,1655.0,3.0,1.0,1.0,5.0,5.0,260.0,9.0,32,0.0
남위례,8호선,13860,20073,3820,1,4177.0,2168.0,,0.0,1.0,7.0,7.0,0.0,,45,0.0
남한산성입구,8호선,24790,34433,8996,1,3932.0,1480.0,4.0,1.0,1.0,4.0,4.0,52.0,13.0,30,0.0
단대오거리,8호선,22605,33079,8402,1,6496.0,1636.0,3.0,1.0,1.0,6.0,6.0,103.0,13.0,40,1.0
모란,8호선,9075,14414,3511,1,7758.0,2160.0,,1.0,1.0,2.0,2.0,61.0,9.0,39,0.0
몽촌토성,8호선,13859,23374,4010,1,6041.0,1373.0,,1.0,1.0,8.0,8.0,166.0,9.0,36,0.0
문정,8호선,40188,58861,5215,1,3278.0,1915.0,,1.0,2.0,8.0,8.0,70.0,9.0,36,0.0
복정,8호선,17037,23467,4429,1,4444.0,2141.0,,1.0,1.0,5.0,5.0,180.0,13.0,29,0.0
산성,8호선,12168,17047,4337,1,2874.0,2263.0,,1.0,1.0,13.0,13.0,43.0,9.0,29,0.0
석촌,8호선,17482,27956,5624,2,5349.0,1641.0,1.0,1.0,1.0,,,111.0,9.0,30,0.0
송파,8호선,17986,24952,5479,1,3164.0,1914.0,1.0,1.0,1.0,4.0,4.0,114.0,9.0,25,0.0
수진,8호선,10391,14111,3567,1,3402.0,1665.0,,1.0,1.0,,,36.0,9.0,28,0.0
신흥,8호선,10245,14036,4187,1,3196.0,1665.0,,1.0,1.0,,,55.0,9.0,27,0.0
암사역사공원,8호선,26239,42050,3944,1,4402.0,3262.0,,0.0,,12.0,12.0,0.0,,,0.0
잠실,8호선,37236,60933,17002,2,13040.0,2654.0,25.0,1.0,1.0,5.0,5.0,250.0,17.0,82,0.0
장지,8호선,31598,41194,8300,1,4099.0,1628.0,2.0,1.0,1.0,8.0,8.0,147.0,13.0,26,2.0
천호,8호선,32923,43586,10577,2,2258.0,2878.0,,0.0,,,,0.0,,30,1.0
가양,9호선,41870,52887,14944,1,,,,1.0,1.0,26.0,4.0,30.0,,84,0.0
개화,9호선,4440,5962,1253,1,,,,0.0,1.0,4.0,2.0,30.0,,58,0.0
고속터미널,9호선,37198,57065,16584,3,,,,7.0,4.0,32.0,4.0,30.0,,108,0.0
공항시장,9호선,6138,7504,2662,1,,,,1.0,1.0,18.0,3.0,30.0,,102,0.0
구반포,9호선,2401,4254,375,1,,,,1.0,1.0,12.0,3.0,40.0,,81,1.0
국회의사당,9호선,31524,90183,3423,1,,,,1.0,2.0,16.0,4.0,30.0,,80,0.0
김포공항,9호선,17333,20931,13026,2,,,,2.0,2.0,18.0,3.0,0.0,,52,0.0
노들,9호선,8971,39254,3075,1,,,,1.0,2.0,16.0,6.0,30.0,,101,1.0
노량진,9호선,50288,70486,19491,1,,,,1.0,2.0,22.0,4.0,30.0,,74,0.0
당산,9호선,36603,62069,10948,2,,,,1.0,2.0,34.0,5.0,30.0,,101,1.0
동작,9호선,3744,39454,1851,2,,,,1.0,2.0,21.0,7.0,30.0,,102,0.0
둔촌오륜,9호선,2509,5181,495,1,,,,1.0,,,,0.0,9.0,,0.0
등촌,9호선,22625,32713,6945,1,,,,1.0,1.0,32.0,3.0,40.0,,90,0.0
마곡나루,9호선,25898,37605,7130,1,,,,1.0,1.0,14.0,4.0,40.0,,51,0.0
봉은사,9호선,41921,62566,14766,1,,,,1.0,1.0,24.0,4.0,30.0,,44,0.0
사평,9호선,7518,10676,2182,1,,,,1.0,1.0,18.0,4.0,40.0,,78,0.0
삼성중앙,9호선,14390,20580,2435,1,,,,1.0,1.0,22.0,4.0,10.0,,8,0.0
삼전,9호선,14790,20431,4845,1,,,1.0,1.0,1.0,14.0,4.0,115.0,9.0,-,0.0
샛강,9호선,12275,46658,2306,1,,,,1.0,1.0,12.0,4.0,30.0,,67,0.0
석촌,9호선,17630,25890,5831,2,,,2.0,1.0,2.0,25.0,5.0,204.0,9.0,-,0.0
석촌고분,9호선,13614,19081,4329,1,,,,1.0,1.0,6.0,5.0,200.0,9.0,-,0.0
선유도,9호선,15823,22330,3693,1,,,,1.0,1.0,13.0,4.0,40.0,,92,0.0
선정릉,9호선,18889,26328,3185,1,,,,1.0,1.0,12.0,4.0,20.0,,85,0.0
송파나루,9호선,11433,15137,3406,1,,,,1.0,1.0,6.0,5.0,40.0,9.0,-,0.0
신논현,9호선,60502,83166,15423,1,,,,1.0,1.0,22.0,5.0,30.0,,135,0.0
신목동,9호선,7942,10818,2417,1,,,,1.0,1.0,10.0,4.0,30.0,,65,0.0
신반포,9호선,8182,10673,2045,1,,,,1.0,1.0,14.0,4.0,40.0,,57,0.0
신방화,9호선,13412,17002,5116,1,,,,0.0,1.0,22.0,4.0,30.0,,62,0.0
양천향교,9호선,18992,25551,5758,1,,,,1.0,1.0,27.0,4.0,54.0,,62,1.0
언주,9호선,21640,29481,3506,1,,,,1.0,1.0,28.0,4.0,0.0,,81,0.0
여의도,9호선,54666,107974,6936,2,,,,2.0,2.0,16.0,3.0,40.0,,61,1.0
염창,9호선,33086,41894,12424,1,,,,1.0,1.0,12.0,4.0,30.0,,53,0.0
올림픽공원,9호선,17035,44669,4200,2,,,,1.0,2.0,14.0,3.0,200.0,42.0,-,0.0
종합운동장,9호선,9845,15620,2730,2,,,2.0,1.0,2.0,18.0,6.0,20.0,,35,0.0
중앙보훈병원,9호선,20851,29135,5508,1,,,1.0,1.0,1.0,10.0,5.0,210.0,9.0,-,1.0
증미,9호선,14372,20485,3537,1,,,,1.0,1.0,18.0,3.0,30.0,,66,0.0
한성백제,9호선,5735,14163,1628,1,,,,1.0,1.0,10.0,3.0,200.0,9.0,-,0.0
흑석,9호선,18235,29833,5437,1,,,,1.0,1.0,16.0,4.0,40.0,,56,0.0
